2025-07-14 13:52:06,527 |  WARNING | playlist-pilot | combined_popularity_score returning 59.15 (fallback to lastfm)
2025-07-14 13:52:06,527 |     INFO | playlist-pilot | 📈 Heaven → LFM: 756280 (→ 59.15), JF: 0 (→ 0.0) → Combined: 59.15
2025-07-14 13:52:06,527 |     INFO | playlist-pilot | normalize_popularity_log called with value=491583, min_val=10000, max_val=15000000
2025-07-14 13:52:06,527 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 53.26 (normalized log scale) raw value: 491583
2025-07-14 13:52:06,527 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | True
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=53.26, jellyfin=0.0, w_lfm=0.4, w_jf=0.6
2025-07-14 13:52:06,528 |  WARNING | playlist-pilot | combined_popularity_score returning 53.26 (fallback to lastfm)
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | 📈 True → LFM: 491583 (→ 53.26), JF: 0 (→ 0.0) → Combined: 53.26
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | normalize_popularity_log called with value=1397299, min_val=10000, max_val=15000000
2025-07-14 13:52:06,528 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 67.54 (normalized log scale) raw value: 1397299
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | With or Without You
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=67.54, jellyfin=0.0, w_lfm=0.4, w_jf=0.6
2025-07-14 13:52:06,528 |  WARNING | playlist-pilot | combined_popularity_score returning 67.54 (fallback to lastfm)
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | 📈 With or Without You → LFM: 1397299 (→ 67.54), JF: 0 (→ 0.0) → Combined: 67.54
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | normalize_popularity_log called with value=291084, min_val=10000, max_val=15000000
2025-07-14 13:52:06,528 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 46.09 (normalized log scale) raw value: 291084
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | Every Rose Has Its Thorn
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=46.09, jellyfin=0.0, w_lfm=0.4, w_jf=0.6
2025-07-14 13:52:06,528 |  WARNING | playlist-pilot | combined_popularity_score returning 46.09 (fallback to lastfm)
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | 📈 Every Rose Has Its Thorn → LFM: 291084 (→ 46.09), JF: 0 (→ 0.0) → Combined: 46.09
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | Playlist cache hit
2025-07-14 13:52:06,528 |     INFO | playlist-pilot | normalize_popularity_log called with value=117739, min_val=10000, max_val=15000000
2025-07-14 13:52:06,529 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 33.72 (normalized log scale) raw value: 117739
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=33.72, jellyfin=0.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,529 |  WARNING | playlist-pilot | combined_popularity_score returning 33.72 (fallback to lastfm)
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity_log called with value=31567, min_val=10000, max_val=15000000
2025-07-14 13:52:06,529 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 15.72 (normalized log scale) raw value: 31567
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=15.72, jellyfin=0.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,529 |  WARNING | playlist-pilot | combined_popularity_score returning 15.72 (fallback to lastfm)
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity_log called with value=21703, min_val=10000, max_val=15000000
2025-07-14 13:52:06,529 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 10.6 (normalized log scale) raw value: 21703
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity called with value=22, min_val=0, max_val=31
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 70.97
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=10.6, jellyfin=70.97, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,529 |    DEBUG | playlist-pilot | combined_popularity_score returning 52.86 (weighted average)
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity_log called with value=24306, min_val=10000, max_val=15000000
2025-07-14 13:52:06,529 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 12.14 (normalized log scale) raw value: 24306
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity called with value=23, min_val=0, max_val=31
2025-07-14 13:52:06,529 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 74.19
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=12.14, jellyfin=74.19, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,530 |    DEBUG | playlist-pilot | combined_popularity_score returning 55.57 (weighted average)
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity_log called with value=137427, min_val=10000, max_val=15000000
2025-07-14 13:52:06,530 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 35.83 (normalized log scale) raw value: 137427
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity called with value=20, min_val=0, max_val=31
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 64.52
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=35.83, jellyfin=64.52, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,530 |    DEBUG | playlist-pilot | combined_popularity_score returning 55.91 (weighted average)
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity_log called with value=8925, min_val=10000, max_val=15000000
2025-07-14 13:52:06,530 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 0 (normalized log scale) raw value: 8925
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity called with value=19, min_val=0, max_val=31
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 61.29
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=0, jellyfin=61.29, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,530 |  WARNING | playlist-pilot | combined_popularity_score returning 61.29 (fallback to jellyfin)
2025-07-14 13:52:06,530 |     INFO | playlist-pilot | normalize_popularity_log called with value=4518, min_val=10000, max_val=15000000
2025-07-14 13:52:06,530 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 0 (normalized log scale) raw value: 4518
